,E,R
0,10.0,0.272514060689913
1,10.1617,0.27664983870184323
2,10.3261,0.2799779820117417
3,10.4931,0.2830635825414451
4,10.6628,0.2854488401484371
5,10.8353,0.2870937057395045
6,11.0106,0.28785546119595123
7,11.1886,0.28834126799658744
8,11.3696,0.28890211293029644
9,11.5535,0.2893550846517066
10,11.7404,0.28970450214590837
11,11.9303,0.28984537363320984
12,12.1232,0.28983759209543664
13,12.3193,0.2896652893760092
14,12.5186,0.2893971289332836
15,12.721,0.2891051953536555
16,12.9268,0.28886345684319054
17,13.1359,0.28887471603952736
18,13.3483,0.28942866846137244
19,13.5642,0.2917912401447625
20,13.7836,0.2939351382692985
21,14.0066,0.2937118980853317
22,14.2331,0.2923371412064973
23,14.4633,0.2906521366224195
24,14.6973,0.2886083332122164
25,14.935,0.2855736280518525
26,15.1765,0.28152819659170586
27,15.422,0.27717806171377823
28,15.6714,0.2726399009874988
29,15.9249,0.26750871651674024
30,16.1825,0.26244332773207757
31,16.4442,0.25840123571852813
32,16.7102,0.25490161788570975
33,16.9805,0.2515463525618266
34,17.2551,0.24808850744238675
35,17.5342,0.24414686728067292
36,17.8178,0.2397913151294522
37,18.106,0.23512417832923094
38,18.3989,0.2304395402791004
39,18.6964,0.22587763390418775
40,18.9988,0.22188098777591347
41,19.3061,0.21817652687874264
42,19.6184,0.21377630865974115
43,19.9357,0.2094765619369259
44,20.2582,0.20515397922104445
45,20.5858,0.19936912503768936
46,20.9188,0.19213170119886658
47,21.2571,0.1843344679646202
48,21.6009,0.17706350954737626
49,21.9503,0.1699300051781969
50,22.3053,0.16218121784587
51,22.6661,0.15496500183607004
52,23.0327,0.1484449957321403
53,23.4053,0.14092214472477485
54,23.7838,0.1325088202975216
55,24.1685,0.12473973077093459
56,24.5594,0.11673126583124607
57,24.9566,0.10839375366529216
58,25.3603,0.09991093502942246
59,25.7705,0.09165864107613096
60,26.1873,0.08359626811474444
61,26.6109,0.07580074100751695
62,27.0413,0.06852091250116969
63,27.4786,0.06179238546109353
64,27.9231,0.05564612937701619
65,28.3747,0.04996795069085893
66,28.8337,0.04464102145078964
67,29.3,0.03973310870359465
68,29.7739,0.03539239893413043
69,30.2555,0.03158125060714392
70,30.7449,0.02819794765536791
71,31.2421,0.025176722169650285
72,31.7475,0.02246555995978721
73,32.2609,0.02002150706377739
74,32.7827,0.01781128567971213
75,33.313,0.015847857361450488
76,33.8518,0.014106568702866603
77,34.3993,0.012544903443254742
78,34.9557,0.011147378754374453
79,35.5211,0.009899427513105357
80,36.0956,0.008779317749669557
81,36.6794,0.007771376229936239
82,37.2727,0.006862285162541716
83,37.8755,0.006038432543986568
84,38.4882,0.005283923969787454
85,39.1107,0.004602022206960138
86,39.7432,0.003980920789748375
87,40.3861,0.003401590736905181
88,41.0393,0.002827986706032353
89,41.7031,0.0022490982800263903
90,42.3776,0.0019451312147650804
91,43.063,0.002285167242395745
92,43.7595,0.0023329792325706795
93,44.4673,0.00210861852181111
94,45.1865,0.0018219133535409748
95,45.9174,0.0015209225764268891
96,46.66,0.0012554137618540336
97,47.4147,0.001089138250738295
98,48.1816,0.0009832698656748774
99,48.9609,0.0008987816456726012
100,49.7528,0.0008323558826698422
101,50.5576,0.0007819245648184271
102,51.3753,0.0007458205772056385
103,52.2062,0.0007303071944342542
104,53.0506,0.0007387032442978371
105,53.9087,0.000732346569712869
106,54.7806,0.0007292085002170442
107,55.6667,0.0007294847170503382
108,56.567,0.0007538424178302887
109,57.482,0.0008186863470429904
110,58.4117,0.000888230561587392
111,59.3564,0.0009418904817694976
112,60.3165,0.0009907084736572494
113,61.2921,0.001014088674413535
114,62.2834,0.0010285054350683883
115,63.2908,0.0010631444978118855
116,64.3145,0.001103856499940489
117,65.3547,0.0011936942567531787
118,66.4118,0.0013184774400674922
119,67.4859,0.001434988231483155
120,68.5775,0.0015664315589180202
121,69.6867,0.0016169164805440801
122,70.8138,0.001663387714797332
123,71.9591,0.0017113839526680357
124,73.123,0.0017349454115309546
125,74.3057,0.0017462857011678807
126,75.5076,0.0017573641785030463
127,76.7289,0.0017741584949891999
128,77.9699,0.0017916954539323555
129,79.231,0.0018086244732546577
130,80.5125,0.0018133867887189692
131,81.8147,0.001819304136750482
132,83.138,0.0018282115599540607
133,84.4827,0.0018330486231817125
134,85.8491,0.001843275997576577
135,87.2377,0.0018291016545298083
136,88.6487,0.0018096429121581391
137,90.0825,0.0017923527874355678
138,91.5395,0.0017768108403662837
139,93.0201,0.0017687894382955988
140,94.5246,0.0017426089722187383
141,96.0535,0.00170841463088357
142,97.6071,0.0016772374282588392
143,99.1858,0.0016570289646276296
144,100.79,0.0016213848450269237
145,102.42,0.001571294220171432
146,104.077,0.0015273748935479563
147,105.76,0.0014691338155210392
148,107.471,0.0013718943037018124
149,109.209,0.0012684500128263918
150,110.975,0.0011706077283067495
151,112.77,0.0010815890484935223
152,114.594,0.0010069775239478667
153,116.448,0.000924692006505751
154,118.331,0.0008368604976839496
155,120.245,0.00075307192964877
156,122.19,0.0006768082739624608
157,124.166,0.000608456177598698
158,126.175,0.0005492110507906705
159,128.215,0.0004974783611240026
160,130.289,0.000451776773127126
161,132.397,0.00041128305782729815
162,134.538,0.00037524986923444747
163,136.714,0.0003435015080309815
164,138.925,0.00031513284580868403
165,141.172,0.0002894625264168548
166,143.456,0.0002666453662419874
167,145.776,0.000246869809994047
168,148.134,0.00022915260005080008
169,150.53,0.00021349694725982814
170,152.964,0.00019999353990078283
171,155.439,0.00018806688472638967
172,157.953,0.00017739252900446917
173,160.507,0.00016718559663326995
174,163.103,0.0001577132400617366
175,165.742,0.00014898814720246118
176,168.422,0.00014096515138433408
177,171.146,0.0001333538799539755
178,173.915,0.00012615944461564528
179,176.727,0.00011946480664087749
180,179.586,0.00011319834379726957
181,182.491,0.00010740097048691073
182,185.442,0.0001020431497342668
183,188.442,9.708233591726669e-05
184,191.489,9.253104344170976e-05
185,194.587,8.832708332185366e-05
186,197.734,8.42122881292469e-05
187,200.932,8.020777200707696e-05
188,204.182,7.643447306375696e-05
189,207.485,7.277751436023714e-05
190,210.84,6.928456298059157e-05
191,214.251,6.589292920469843e-05
192,217.716,6.265092216090882e-05
193,221.237,5.953377853518648e-05
194,224.816,5.6514497033681975e-05
195,228.452,5.362477230126793e-05
196,232.147,5.087794548441718e-05
197,235.902,4.8274417241308655e-05
198,239.717,4.581430503262541e-05
199,243.595,4.350183959869794e-05
200,247.535,4.130810591803912e-05
201,251.538,3.920643727282005e-05
202,255.607,3.720675167065437e-05
203,259.741,3.53166951012035e-05
204,263.942,3.353629252955449e-05
205,268.211,3.186941520764667e-05
206,272.549,3.033339225236006e-05
207,276.957,2.8845022998567615e-05
208,281.437,2.7384667263700146e-05
209,285.989,2.595839246977216e-05
210,290.615,2.4558680353375347e-05
211,295.315,2.3207009133499244e-05
212,300.092,2.191541964778039e-05
213,304.945,2.0686720066258394e-05
214,309.878,1.9520447774175878e-05
215,314.89,1.8416587291898694e-05
216,319.983,1.7374626875282257e-05
217,325.158,1.6399767316499056e-05
218,330.418,1.546315788271142e-05
219,335.762,1.4564227728063552e-05
220,341.192,1.3709742202327753e-05
221,346.711,1.2899926466428378e-05
222,352.319,1.2133966529456214e-05
223,358.017,1.141078382458578e-05
224,363.808,1.0729054224628794e-05
225,369.692,1.0088660197654304e-05
226,375.672,9.486320038184014e-06
227,381.748,8.926014653010764e-06
228,387.922,8.382492301437218e-06
229,394.197,7.858173986015418e-06
230,400.573,7.3550623091199895e-06
231,407.052,6.87251898089704e-06
232,413.635,6.412470180103227e-06
233,420.326,5.975050633719822e-06
234,427.124,5.558332363095122e-06
235,434.032,5.167708762645939e-06
236,441.052,4.801698700500019e-06
237,448.186,4.456912661506584e-06
238,455.435,4.131097156150741e-06
239,462.802,3.822471120870898e-06
240,470.287,3.5297862334099495e-06
241,477.894,3.251769865451906e-06
242,485.623,2.986898027608627e-06
243,493.478,2.7333484759724137e-06
244,501.459,2.493635273148188e-06
245,509.57,2.2642885885477366e-06
246,517.812,2.0416697659108283e-06
247,526.187,1.821505046793535e-06
248,534.698,1.6042705026637873e-06
249,543.346,1.3870382254904417e-06
250,552.134,1.153827319347869e-06
251,561.065,8.84740557194119e-07
252,570.139,4.59200842139063e-07
253,579.361,1.6280357530527516e-06
