W,R
1.92E-05,0.999992277
1.97E-05,0.999992194
2.01E-05,0.99999211
2.05E-05,0.999992025
2.10E-05,0.999991939
2.14E-05,0.999991852
2.19E-05,0.999991764
2.24E-05,0.999991675
2.28E-05,0.999991585
2.33E-05,0.999991494
2.38E-05,0.999991402
2.44E-05,0.99999131
2.49E-05,0.999991216
2.54E-05,0.999991121
2.60E-05,0.999991025
2.65E-05,0.999990928
2.71E-05,0.99999083
2.77E-05,0.999990732
2.83E-05,0.999990632
2.89E-05,0.99999053
2.96E-05,0.999990428
3.02E-05,0.999990325
3.09E-05,0.999990221
3.15E-05,0.999990115
3.22E-05,0.999990008
3.29E-05,0.9999899
3.36E-05,0.999989791
3.43E-05,0.999989681
3.51E-05,0.99998957
3.59E-05,0.999989457
3.66E-05,0.999989344
3.74E-05,0.999989229
3.82E-05,0.999989112
3.91E-05,0.999988995
3.99E-05,0.999988876
4.08E-05,0.999988756
4.17E-05,0.999988635
4.26E-05,0.999988512
4.35E-05,0.999988388
4.44E-05,0.999988263
4.54E-05,0.999988136
4.64E-05,0.999988008
4.74E-05,0.999987879
4.84E-05,0.999987748
4.95E-05,0.999987616
5.06E-05,0.999987482
5.16E-05,0.999987347
5.28E-05,0.99998721
5.39E-05,0.999987072
5.51E-05,0.999986933
5.63E-05,0.999986792
5.75E-05,0.999986649
5.87E-05,0.999986505
6.00E-05,0.99998636
6.13E-05,0.999986212
6.27E-05,0.999986064
6.40E-05,0.999985913
6.54E-05,0.999985761
6.68E-05,0.999985608
6.83E-05,0.999985452
6.98E-05,0.999985295
7.13E-05,0.999985137
7.28E-05,0.999984976
7.44E-05,0.999984814
7.60E-05,0.99998465
7.77E-05,0.999984485
7.93E-05,0.999984317
8.11E-05,0.999984148
8.28E-05,0.999983977
8.46E-05,0.999983804
8.65E-05,0.999983629
8.83E-05,0.999983452
9.03E-05,0.999983274
9.22E-05,0.999983093
9.42E-05,0.999982911
9.63E-05,0.999982726
9.83E-05,0.99998254
0.000100477,0.999982352
0.000102657,0.999982161
0.000104885,0.999981969
0.000107161,0.999981774
0.000109486,0.999981577
0.000111862,0.999981379
0.00011429,0.999981178
