,W,R
0,1e-07,0.9999994432368862
1,1.021699522502247e-07,0.9999994372285589
2,1.0438699142813194e-07,0.9999994311553925
3,1.0665213929756876e-07,0.9999994250166873
4,1.0896643979416913e-07,0.9999994188117362
5,1.1133095950647243e-07,0.9999994125398239
6,1.1374678816747987e-07,0.9999994062002283
7,1.1621503915687842e-07,0.9999993997922186
8,1.1873685001416261e-07,0.9999993933150568
9,1.213133829628911e-07,0.9999993867679964
10,1.2394582544631806e-07,0.9999993801502832
11,1.2663539067465e-07,0.9999993734611548
12,1.293833181841754e-07,0.9999993666998404
13,1.321908744085283e-07,0.999999359865561
14,1.3505935326234784e-07,0.9999993529575293
15,1.3799007673760338e-07,0.9999993459749493
16,1.4098439551285777e-07,0.9999993389170166
17,1.440436895757547e-07,0.999999331782918
18,1.4716936885901047e-07,0.9999993245718315
19,1.5036287389020804e-07,0.9999993172829263
20,1.5362567645569112e-07,0.9999993099153628
21,1.5695928027886461e-07,0.9999993024682919
22,1.6036522171321233e-07,0.9999992949408557
23,1.63845070450356e-07,0.9999992873321869
24,1.6740043024347573e-07,0.9999992796414089
25,1.7103293964642985e-07,0.9999992718676356
26,1.7474427276891335e-07,0.9999992640099714
27,1.7853614004800115e-07,0.999999256067511
28,1.8241028903643707e-07,0.9999992480393393
29,1.863685052080246e-07,0.9999992399245312
30,1.9041261278049625e-07,0.999999231722152
31,1.9454447555623828e-07,0.9999992234312565
32,1.987659977812591e-07,0.9999992150508895
33,2.0307912502279508e-07,0.9999992065800856
34,2.0748584506596386e-07,0.9999991980178686
35,2.1198818882987044e-07,0.9999991893632523
36,2.165882313035948e-07,0.9999991806152393
37,2.2128809250248901e-07,0.9999991717728219
38,2.2608993844522653e-07,0.9999991628349812
39,2.3099598215205036e-07,0.9999991538006876
40,2.360084846646874e-07,0.9999991446689002
41,2.4112975608838996e-07,0.9999991354385667
42,2.4636215665659133e-07,0.9999991261086237
43,2.517080978186631e-07,0.9999991166779963
44,2.5717004335127744e-07,0.9999991071455981
45,2.6275051049388235e-07,0.9999990975103307
46,2.684520711088212e-07,0.9999990877710839
47,2.742773528666219e-07,0.9999990779267358
48,2.802290404570078e-07,0.999999067976152
49,2.863098768261883e-07,0.9999990579181862
